
running 322 tests
test reference_fixtures_nonreg_simple_TeozTimelineIssues_0002_puml ... FAILED
test reference_fixtures_nonreg_simple_SequenceLeftMessageAndActiveLifeLines_0003_puml ... FAILED
test reference_fixtures_nonreg_simple_TeozTimelineIssues_0006_puml ... FAILED
test reference_fixtures_nonreg_svg_SVG0005_Smetana_puml ... FAILED
test reference_fixtures_nonreg_svg_SVG0005_Svek_puml ... FAILED
test reference_fixtures_nonreg_simple_QualifiedAssoc001_puml ... FAILED
test reference_fixtures_nonreg_simple_TeozTimelineIssues_0008_puml ... FAILED
test reference_fixtures_nonreg_simple_TeozTimelineIssues_0007_puml ... FAILED
test reference_fixtures_nwdiag_basic_puml ... FAILED
test reference_fixtures_nonreg_xmi_component_XMI0001_puml ... FAILED
test reference_fixtures_nonreg_svg_SVG0001_puml ... FAILED
test reference_fixtures_nonreg_simple_TeozTimelineIssues_0009_puml ... FAILED
test reference_fixtures_packet_basic_puml ... ok
test reference_fixtures_packet_tcp_puml ... ok
test reference_fixtures_nonreg_xmi_clazz_XMI0000_puml ... FAILED
test reference_fixtures_nonreg_svg_SVG0002_puml ... FAILED
test reference_fixtures_pie_basic_puml ... ok
test reference_fixtures_preprocessor_builtin_newline_puml ... FAILED
test reference_fixtures_nonreg_xmi_clazz_XMI0003_puml ... FAILED
test reference_fixtures_preprocessor_deployment_mono_multi_line_puml ... FAILED
test reference_fixtures_nonreg_svg_SVG0003_puml ... FAILED
test reference_fixtures_preprocessor_jaws8_puml ... FAILED
test reference_fixtures_preprocessor_jaws9_puml ... FAILED
test reference_fixtures_nonreg_xmi_clazz_XMI0002_puml ... FAILED
test reference_fixtures_nonreg_xmi_clazz_XMI0004_puml ... FAILED
test reference_fixtures_preprocessor_preproc_functionparam_line_continuation_puml ... FAILED
test reference_fixtures_nonreg_svg_SVG0004_Smetana_puml ... FAILED
test reference_fixtures_nonreg_svg_SVG0004_Svek_puml ... FAILED
test reference_fixtures_preprocessor_jaws3_puml ... FAILED
test reference_fixtures_object_fields_puml ... FAILED
test reference_fixtures_object_map_puml ... FAILED
test reference_fixtures_object_basic_puml ... FAILED
test reference_fixtures_object_inheritance_puml ... FAILED
test reference_fixtures_preprocessor_seq_mono_line_puml ... FAILED
test reference_fixtures_preprocessor_sequencelayout_0004_puml ... FAILED
test reference_fixtures_preprocessor_jaws6_puml ... FAILED
test reference_fixtures_preprocessor_jaws7_puml ... FAILED
test reference_fixtures_preprocessor_svg0005_smetana_puml ... FAILED
test reference_fixtures_nonreg_svg_SVG0006_Svek_puml ... FAILED
test reference_fixtures_preprocessor_sequencelayout_0005_puml ... FAILED
test reference_fixtures_preprocessor_svg0005_svek_puml ... FAILED
test reference_fixtures_preprocessor_sequencelayout_0005b_puml ... FAILED
test reference_fixtures_preprocessor_sequenceleftmessageandactivelifelines_0001_puml ... FAILED
test reference_fixtures_preprocessor_svg0002_puml ... FAILED
test reference_fixtures_preprocessor_sequencearrows_0001_puml ... FAILED
test reference_fixtures_preprocessor_sequencearrows_0002_puml ... FAILED
test reference_fixtures_preprocessor_teozaltelseparallel_0001_puml ... FAILED
test reference_fixtures_preprocessor_teozaltelseparallel_0002_puml ... FAILED
