
running 296 tests
test reference_fixtures_misc_creole_font001_puml ... ok
test reference_fixtures_misc_creole_back001_puml ... ok
test reference_fixtures_misc_creole_sup_sub001_puml ... ok
test reference_fixtures_misc_creole_mixed001_puml ... ok
test reference_fixtures_dev_newline_class_funcparam_arrow_puml ... ok
test reference_fixtures_nonreg_graphml_GML0000_puml ... ok
test reference_fixtures_nonreg_graphml_GML0001_puml ... ok
test reference_fixtures_nonreg_scxml_SCXML0001_puml ... ok
test reference_fixtures_misc_skinparam_font001_puml ... ok
test reference_fixtures_misc_skinparam_handwritten001_puml ... ok
test reference_fixtures_nonreg_scxml_SCXML0005_puml ... ok
test reference_fixtures_misc_skinparam_colors001_puml ... ok
test reference_fixtures_misc_meta_title_header_footer_puml ... ok
test reference_fixtures_dev_newline_subdiagram_theme_puml ... ok
test reference_fixtures_nonreg_scxml_SCXML0002_puml ... ok
test reference_fixtures_misc_xmi0000_puml ... ok
test reference_fixtures_misc_skinparam_monochrome001_puml ... ok
test reference_fixtures_nonreg_simple_A0004_puml ... FAILED
test reference_fixtures_nonreg_scxml_SCXML0004_puml ... ok
test reference_fixtures_nonreg_simple_A0002_puml ... ok
test reference_fixtures_misc_skinparam_sequence001_puml ... ok
test reference_fixtures_misc_skinparam_roundcorner001_puml ... ok
test reference_fixtures_nonreg_simple_A0000_puml ... ok
test reference_fixtures_nonreg_simple_ChenRankDir_puml ... ok
test reference_fixtures_nonreg_simple_ChenMovie_puml ... ok
test reference_fixtures_nonreg_simple_ComponentExtraArrows_0001_puml ... ok
test reference_fixtures_nonreg_simple_A0001_puml ... ok
test reference_fixtures_nonreg_simple_ChenMovieAlias_puml ... ok
test reference_fixtures_nonreg_simple_A0003_puml ... ok
test reference_fixtures_nonreg_simple_ChenMovieExtended_puml ... ok
test reference_fixtures_nonreg_simple_A0006_puml ... ok
test reference_fixtures_nonreg_scxml_SCXML0003_puml ... ok
test reference_fixtures_nonreg_simple_HideShow001_puml ... ok
test reference_fixtures_nonreg_simple_HideShow003_puml ... ok
test reference_fixtures_nonreg_simple_HideShow002_puml ... ok
test reference_fixtures_nonreg_simple_A0005_puml ... ok
test reference_fixtures_nonreg_simple_HideShow004_puml ... ok
test reference_fixtures_nonreg_simple_SequenceLayout_0002_puml ... ok
test reference_fixtures_nonreg_simple_SequenceLayout_0003_puml ... ok
test reference_fixtures_nonreg_simple_SequenceLayout_0004_puml ... ok
test reference_fixtures_nonreg_simple_SequenceLayout_0001_puml ... ok
test reference_fixtures_nonreg_simple_SequenceLayout_0006_puml ... ok
test reference_fixtures_nonreg_simple_SequenceLayout_0001c_puml ... ok
test reference_fixtures_nonreg_simple_SequenceLayout_0001b_puml ... ok
test reference_fixtures_nonreg_simple_SequenceLayout_0005_puml ... ok
test reference_fixtures_nonreg_simple_SequenceLayout_0005b_puml ... ok
test reference_fixtures_misc_link_url_tooltip_05_puml ... ok
test reference_fixtures_nonreg_simple_SequenceArrows_0001_puml ... ok
test reference_fixtures_nonreg_simple_SequenceLeftMessageAndActiveLifeLines_0001_puml ... ok
test reference_fixtures_nonreg_simple_QualifiedAssoc002_puml ... ok
test reference_fixtures_nonreg_simple_SequenceArrows_0002_puml ... ok
test reference_fixtures_nonreg_simple_SequenceLeftMessageAndActiveLifeLines_0002_puml ... ok
test reference_fixtures_nonreg_simple_TeozAltElseParallel_0001_puml ... ok
test reference_fixtures_nonreg_simple_TeozAltElseParallel_0002_puml ... ok
test reference_fixtures_nonreg_simple_TeozAltElseParallel_0006_puml ... ok
test reference_fixtures_nonreg_simple_TeozTimelineIssues_0001_puml ... ok
test reference_fixtures_nonreg_simple_TeozAltElseParallel_0004_puml ... ok
test reference_fixtures_nonreg_simple_TeozAltElseParallel_0003_puml ... ok
test reference_fixtures_nonreg_simple_TeozAltElseParallel_0005_puml ... ok
test reference_fixtures_nonreg_simple_TeozTimelineIssues_0003_puml ... ok
test reference_fixtures_nonreg_simple_TeozTimelineIssues_0004_puml ... ok
test reference_fixtures_nonreg_simple_TeozTimelineIssues_0002_puml ... ok
test reference_fixtures_nonreg_simple_TimingMessageArrowFont_0001_puml ... ok
test reference_fixtures_nonreg_simple_TimingMessageArrowFont_0002_puml ... ok
test reference_fixtures_nonreg_simple_TeozTimelineIssues_0005_puml ... ok
test reference_fixtures_nonreg_simple_TeozTimelineIssues_0006_puml ... ok
test reference_fixtures_nonreg_simple_SequenceLeftMessageAndActiveLifeLines_0003_puml ... ok
test reference_fixtures_nonreg_svg_SVG0005_Svek_puml ... ok
